codice_istat,Comune,Codice_Regione,Codice_Provincia,Nuclei_familiari_percettori_RDC_luglio_2020,Nuclei_familiari_percettori_PDC_luglio_2020,Individui_coinvolti_luglio_2020,Numero_componenti_per_famiglia,Numero_donne_per_famiglia,Numero_minori_<_18_anni_per_famiglia,Numero_anziani_>_75_anni_per_famiglia,Importo_medio_mensile,Dev.standard_importo_mensile,Uomini_residenti_al_1-1-2020,Donne_residenti_al_1-1-2020,Popolazione_residente_al_1-1-2020,Takeup,Takeup_donne
g381,paularo,6.0,30.0,13.0,0.0,29.0,1.933,0.933,0.467,0.067,490.959,193.409,1231.0,1246.0,2477.0,0.012,0.011
g382,pauliarbarei,20.0,111.0,23.0,0.0,51.0,1.962,1.038,0.346,0.077,431.821,225.343,291.0,292.0,583.0,0.087,0.092
g383,sannicològerrei,20.0,111.0,18.0,0.0,41.0,2.05,0.9,0.35,0.05,420.26,204.122,378.0,346.0,724.0,0.057,0.052
g384,paulilatino,20.0,95.0,48.0,11.0,129.0,2.186,1.051,0.458,0.136,457.661,247.255,1085.0,1070.0,2155.0,0.06,0.058
g385,paullo,3.0,15.0,96.0,11.0,242.0,2.262,1.252,0.589,0.075,425.683,282.177,5505.0,5667.0,11172.0,0.022,0.024
g386,paupisi,15.0,62.0,44.0,0.0,106.0,2.304,1.065,0.457,0.043,454.218,243.473,831.0,798.0,1629.0,0.065,0.061
g387,pavarolo,1.0,1.0,8.0,0.0,21.0,2.333,1.111,0.667,0.111,474.363,218.079,552.0,564.0,1116.0,0.019,0.018
g388,pavia,3.0,18.0,1197.0,149.0,2767.0,2.056,1.024,0.513,0.065,444.963,246.736,34305.0,37577.0,71882.0,0.038,0.037
g389,paviadiudine,6.0,30.0,17.0,5.0,34.0,1.545,0.636,0.364,0.0,399.963,251.472,2725.0,2804.0,5529.0,0.006,0.005
g391,pavonedelmella,3.0,17.0,7.0,0.0,22.0,2.444,1.667,0.333,0.111,418.76,312.853,1388.0,1342.0,2730.0,0.008,0.011
g392,pavonecanavese,1.0,1.0,38.0,6.0,83.0,1.886,0.932,0.295,0.045,495.618,267.564,1817.0,1932.0,3749.0,0.022,0.021
g393,pavullonelfrignano,8.0,36.0,145.0,17.0,369.0,2.278,1.222,0.531,0.049,497.988,280.518,8953.0,9025.0,17978.0,0.021,0.022
g394,pazzano,18.0,80.0,23.0,0.0,55.0,2.2,1.28,0.52,0.08,478.085,232.282,254.0,256.0,510.0,0.108,0.125
g395,peccioli,9.0,50.0,41.0,6.0,105.0,2.234,1.234,0.553,0.106,471.218,275.109,2284.0,2433.0,4717.0,0.022,0.024
g396,pecco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.785,125.985,0.0,0.0,0.0,0.0,0.0
g397,pecettodivalenza,1.0,6.0,9.0,0.0,22.0,2.2,1.0,0.2,0.1,664.822,288.224,589.0,596.0,1185.0,0.019,0.017
g398,pecettotorinese,1.0,1.0,11.0,4.0,20.0,1.333,0.733,0.067,0.067,447.203,241.06,1998.0,2085.0,4083.0,0.005,0.005
g402,pedara,19.0,87.0,525.0,53.0,1449.0,2.507,1.337,0.699,0.066,586.978,282.277,7268.0,7327.0,14595.0,0.099,0.106
g403,pedaso,11.0,109.0,33.0,0.0,79.0,2.257,1.2,0.6,0.057,461.819,260.214,1360.0,1463.0,2823.0,0.028,0.029
g404,pedavena,5.0,25.0,9.0,4.0,28.0,2.154,0.923,0.462,0.154,372.981,265.703,2136.0,2257.0,4393.0,0.006,0.005
g406,pedemonte,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.157,59.421,342.0,386.0,728.0,0.0,0.0
g407,sanpaolo,3.0,17.0,20.0,4.0,59.0,2.458,1.417,0.833,0.083,443.36,313.04,2235.0,2220.0,4455.0,0.013,0.015
g408,pederobba,5.0,26.0,32.0,5.0,106.0,2.865,1.378,0.757,0.027,391.388,239.768,3657.0,3694.0,7351.0,0.014,0.014
g410,pedesina,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,37.0,0.0,0.0
g411,pedivigliano,18.0,78.0,40.0,4.0,86.0,1.955,1.114,0.341,0.136,482.253,244.326,383.0,418.0,801.0,0.107,0.117
g412,pedrengo,3.0,16.0,12.0,0.0,32.0,2.286,1.214,0.571,0.071,456.127,258.511,2996.0,2998.0,5994.0,0.005,0.006
g415,peglio,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.875,164.226,332.0,333.0,665.0,0.0,0.0
g416,peglio,11.0,41.0,4.0,0.0,14.0,3.5,2.0,1.5,0.0,531.917,346.813,89.0,90.0,179.0,0.078,0.089
g417,pegognaga,3.0,20.0,27.0,6.0,78.0,2.364,1.303,0.697,0.152,515.897,296.48,3429.0,3535.0,6964.0,0.011,0.012
